text,label,split,confidence,lang,augmented
"Adaptive learning platforms personalize curricula",education,train,0.9,en,true
"Smart hospitals leverage IoT for efficiency",health,train,0.85,en,true
"Single-use plastics are contaminating rivers",environment,train,1.0,en,false
"After-school tutoring closes achievement gaps",education,train,0.95,en,false
"Gene editing promises breakthrough treatments",health,train,0.85,en,true
"Loss of pollinators threatens food security",environment,train,1.0,en,false
"Flipped classrooms deepen conceptual understanding",education,train,0.9,en,true
"AI radiology assistants flag anomalies faster",health,train,0.9,en,true
"Coral bleaching devastates reef ecosystems",environment,train,1.0,en,false
"Micro-credentialing supports lifelong learning",education,train,0.9,en,true
"Digital therapeutics treat chronic conditions",health,train,0.85,en,true
"Urban sprawl consumes fertile farmland",environment,train,1.0,en,false
"Mentorship networks empower first-gen students",education,train,0.9,en,false
"Clinical decision support reduces diagnostic errors",health,train,0.9,en,true
"Air quality indices guide outdoor activity",environment,train,1.0,en,false
"Cloud computing expands school infrastructure",education,train,0.85,en,true
"AI-powered prosthetics restore mobility",health,train,0.85,en,true
"Desertification advances in arid regions",environment,train,1.0,en,false
"Project-based learning builds real-world skills",education,train,0.95,en,false
"Biomarker detection enables early cancer screening",health,train,0.9,en,true
"Endangered species need habitat corridors",environment,train,1.0,en,false
"Community colleges offer affordable pathways",education,train,0.95,en,false
"Ambient intelligence assists elderly care",health,train,0.85,en,true
"Industrial waste pollutes groundwater reserves",environment,train,1.0,en,false
"Universal design makes classrooms inclusive",education,train,0.95,en,false
"AI scheduling optimizes hospital workflows",health,train,0.85,en,true
"Extreme weather events displace communities",environment,train,1.0,en,false
"Financial literacy empowers young learners",education,train,0.9,en,false
"Predictive models identify at-risk patients",health,train,0.9,en,true
"Bioaccumulation of toxins harms wildlife",environment,train,1.0,en,false
"Language apps break communication barriers",education,train,0.9,en,true
"Natural language processing decodes medical records",health,train,0.85,en,true
"Reforestation offsets carbon footprints",environment,train,1.0,en,false
"Citizen science engages students in research",education,train,0.9,en,false
"Robot-assisted rehabilitation speeds recovery",health,train,0.9,en,true
"Microplastics found in drinking water",environment,train,1.0,en,false
"School nutrition programs improve focus",education,train,0.9,en,false
"Telepsychiatry bridges rural mental health gaps",health,train,0.9,en,true
"Conservation drones monitor endangered habitats",environment,train,0.9,en,true
"Learning analytics identify struggling students",education,train,0.9,en,true
"AI dosing algorithms personalize medication",health,train,0.85,en,true
"Sea level rise threatens coastal cities",environment,train,1.0,en,false
"Public libraries serve as learning hubs",education,train,0.95,en,false
"Federated learning preserves patient privacy",health,train,0.8,en,true
"Wetland restoration filters water naturally",environment,train,1.0,en,false
"Blended learning models gain traction",education,train,0.95,en,false
"Symptom checkers guide patients to appropriate care",health,train,0.85,en,true
"Chemical runoff creates dead zones in lakes",environment,train,1.0,en,false
"Early childhood education shapes cognitive growth",education,train,1.0,en,false
"Population health platforms aggregate community data",health,train,0.85,en,true
"Mangrove forests buffer coastal storms",environment,train,1.0,en,false
"Collaborative coding platforms teach programming",education,train,0.9,en,true
"Computer vision detects skin lesions accurately",health,train,0.9,en,true
"Light pollution disrupts nocturnal ecosystems",environment,train,0.95,en,false
"Arts integration enriches STEM learning",education,train,0.9,en,false
"Remote insulin pumps automate glucose control",health,train,0.85,en,true
